,DOGE,DOGE,DOGE,DOGE,DOGE,BTC,BTC,BTC,BTC,BTC,XRP,XRP,XRP,XRP,XRP,USDT,USDT,USDT,USDT,USDT,ETH,ETH,ETH,ETH,ETH
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-25,0.008648999966681004,0.010728999972343445,0.008581999689340591,0.008930999785661697,178008992.0,13995.900390625,14593.0,13448.900390625,14026.599609375,10664699904,1.045609951019287,1.1285200119018555,1.003559947013855,1.1223200559616089,686014016.0,1.026479959487915,1.0317200422286987,1.0089399814605713,1.0111299753189087,1708380032.0,698.8699951171875,782.52099609375,698.8699951171875,765.833984375,2491760128.0
2017-12-26,0.008934999816119671,0.009623000398278236,0.008173000067472458,0.009410999715328217,124427000.0,14036.599609375,16461.19921875,14028.900390625,16099.7998046875,13454300160,1.1217399835586548,1.1913100481033325,1.0906200408935547,1.1894899606704712,938846976.0,1.0104899406433105,1.0173200368881226,0.9985799789428711,1.0040700435638428,1854780032.0,763.3699951171875,786.7899780273438,760.9349975585938,773.8359985351562,2201159936.0
2017-12-27,0.009341999888420105,0.009608999826014042,0.008514000102877617,0.008871999569237232,63625500.0,16163.5,16930.900390625,15114.2998046875,15838.5,12487600128,1.1842199563980103,1.468459963798523,1.1823400259017944,1.3996399641036987,2854259968.0,1.0046900510787964,1.014840006828308,0.9964579939842224,1.003659963607788,1939949952.0,774.969970703125,789.2529907226562,738.4130249023438,762.8419799804688,2100029952.0
2017-12-28,0.008856000378727913,0.008856000378727913,0.007716999854892492,0.008485999889671803,51201500.0,15864.099609375,15888.400390625,13937.2998046875,14606.5,12336499712,1.3938900232315063,1.5008000135421753,1.2586499452590942,1.4308799505233765,2843300096.0,1.003309965133667,1.0330599546432495,1.0005500316619873,1.0065900087356567,2211409920.0,762.2080078125,763.3189697265625,701.18701171875,737.0230102539062,2389149952.0
2017-12-29,0.00851299986243248,0.009476999752223492,0.008155000396072865,0.00939099956303835,62474900.0,14695.7998046875,15279.0,14307.0,14656.2001953125,13025500160,1.4395699501037598,2.2651500701904297,1.436579942703247,2.214600086212158,7545739776.0,1.010949969291687,1.0151900053024292,1.0008800029754639,1.0056400299072266,1929090048.0,740.3889770507812,770.1170043945312,729.6079711914062,753.5919799804688,2648969984.0
2017-12-30,0.009364999830722809,0.00944599974900484,0.007387999910861254,0.007860000245273113,56175300.0,14681.900390625,14681.900390625,12350.099609375,12952.2001953125,14452599808,2.1989998817443848,2.854530096054077,2.035170078277588,2.159019947052002,8108389888.0,1.0077199935913086,1.0347800254821777,0.9928420186042786,1.0213500261306763,2711059968.0,753.8150024414062,753.8150024414062,685.2310180664062,717.2570190429688,3187780096.0
2017-12-31,0.007803000044077635,0.00927400030195713,0.007668999955058098,0.00897200033068657,62256400.0,12897.7001953125,14377.400390625,12755.599609375,14156.400390625,12136299520,2.095099925994873,2.3919999599456787,1.870300054550171,2.300570011138916,4642079744.0,1.0243099927902222,1.0243099927902222,1.0002700090408325,1.0122599601745605,1927010048.0,712.2119750976562,760.3480224609375,710.1190185546875,756.7329711914062,2554269952.0
2018-01-01,0.00903099961578846,0.009062999859452248,0.00810100045055151,0.00890900008380413,50616900.0,14112.2001953125,14112.2001953125,13154.7001953125,13657.2001953125,10291200000,2.296020030975342,2.3910300731658936,2.148969888687134,2.3910300731658936,1894230016.0,1.0125499963760376,1.0153599977493286,1.0015300512313843,1.0072799921035767,1685299968.0,755.7570190429688,782.530029296875,742.0040283203125,772.6409912109375,2595760128.0
2018-01-02,0.00887299980968237,0.009597999975085258,0.00855099968612194,0.009145000018179417,89424096.0,13625.0,15444.599609375,13163.599609375,14982.099609375,16846600192,2.3694798946380615,2.489190101623535,2.2479300498962402,2.4809000492095947,3171010048.0,1.0057400465011597,1.0098799467086792,0.9932500123977661,1.0048999786376953,2635859968.0,772.3460083007812,914.8300170898438,772.3460083007812,884.4439697265625,5783349760.0
2018-01-03,0.009088000282645226,0.009584000334143639,0.008882000111043453,0.009320000186562538,66349900.0,14978.2001953125,15572.7998046875,14844.5,15201.0,16871900160,2.464099884033203,3.2793800830841064,2.443150043487549,3.105370044708252,6635879936.0,1.006600022315979,1.0232800245285034,1.0026400089263916,1.0134400129318237,2471689984.0,886.0,974.4710083007812,868.4509887695312,962.719970703125,5093159936.0
2018-01-04,0.009345999918878078,0.010036000050604343,0.008767999708652496,0.009643999859690666,108986000.0,15270.7001953125,15739.7001953125,14522.2001953125,15599.2001953125,21783199744,3.117340087890625,3.841939926147461,3.117340087890625,3.1966300010681152,8103660032.0,1.013200044631958,1.0161800384521484,0.9938219785690308,1.0025299787521362,3200130048.0,961.7130126953125,1045.0799560546875,946.0859985351562,980.9219970703125,6502859776.0
2018-01-05,0.00965999998152256,0.01228300016373396,0.009588999673724174,0.012167000211775303,212383008.0,15477.2001953125,17705.19921875,15202.7998046875,17429.5,23840899072,3.3008100986480713,3.5646800994873047,2.8256099224090576,3.0487101078033447,6288500224.0,1.0017499923706055,1.0050100088119507,0.9859150052070618,0.9986339807510376,3096620032.0,975.75,1075.3900146484375,956.3250122070312,997.719970703125,6683149824.0
2018-01-06,0.012226000428199768,0.0157880000770092,0.012226000428199768,0.014863000251352787,283716992.0,17462.099609375,17712.400390625,16764.599609375,17527.0,18314600448,3.021049976348877,3.236560106277466,2.989919900894165,3.0939700603485107,2777560064.0,1.0002800226211548,1.0120899677276611,0.9968469738960266,1.0089900493621826,2620080128.0,995.1539916992188,1060.7099609375,994.6220092773438,1041.6800537109375,4662219776.0
2018-01-07,0.014673000201582909,0.018773000687360764,0.01457700040191412,0.01708799973130226,288184000.0,17527.30078125,17579.599609375,16087.7001953125,16477.599609375,15866000384,3.0929598808288574,3.4872500896453857,3.083820104598999,3.377810001373291,2395150080.0,1.0072699785232544,1.015720009803772,0.9982079863548279,1.0015699863433838,2338180096.0,1043.010009765625,1153.1700439453125,1043.010009765625,1153.1700439453125,5569880064.0
2018-01-08,0.017115000635385513,0.017664000391960144,0.013764999806880951,0.015045000240206718,235114000.0,16476.19921875,16537.900390625,14208.2001953125,15170.099609375,18413899776,3.363569974899292,3.363569974899292,2.0655200481414795,2.456209897994995,3315259904.0,1.005139946937561,1.0423599481582642,0.9976170063018799,1.0093200206756592,3815749888.0,1158.260009765625,1266.9300537109375,1016.0499877929688,1148.530029296875,8450970112.0
2018-01-09,0.015072000212967396,0.015568999573588371,0.013015000149607658,0.013419999741017818,115255000.0,15123.7001953125,15497.5,14424.0,14595.400390625,16659999744,2.443459987640381,2.5289599895477295,1.9806599617004395,2.1017799377441406,3694700032.0,1.008579969406128,1.014299988746643,1.0006599426269531,1.0059900283813477,2766180096.0,1146.0,1320.97998046875,1145.489990234375,1299.739990234375,7965459968.0
2018-01-10,0.013554000295698643,0.013559999875724316,0.011485000140964985,0.013101999647915363,100243000.0,14588.5,14973.2998046875,13691.2001953125,14973.2998046875,18500800512,2.1299099922180176,2.158869981765747,1.6951899528503418,1.9749200344085693,4833639936.0,1.0051499605178833,1.0138200521469116,0.9964460134506226,1.0012799501419067,3189860096.0,1300.3399658203125,1417.3800048828125,1226.5999755859375,1255.8199462890625,9214950400.0
